timestamp,service,value,metric_name
1732403140,payments,957,net.connection.count.in_sum
1732403150,payments,920,net.connection.count.in_sum
1732403160,payments,931,net.connection.count.in_sum
1732403170,payments,941,net.connection.count.in_sum
1732403180,payments,955,net.connection.count.in_sum
1732403190,payments,979,net.connection.count.in_sum
