timestamp,service,value
1732321520,recommendations-food,10861954.0
1732321530,recommendations-food,4598557.0
1732321540,recommendations-food,4892266.0
1732321550,recommendations-food,4799051.0
1732321570,recommendations-food,7616215.5
1732321590,recommendations-food,10369873.0
1732321600,recommendations-food,14877071.5
1732321620,recommendations-food,5148050.0
1732321630,recommendations-food,32355068.5
1732321640,recommendations-food,33639162.0
1732321650,recommendations-food,16361725.0
1732321660,recommendations-food,13017950.5
1732321670,recommendations-food,7131469.5
1732321680,recommendations-food,23995276.0
1732321690,recommendations-food,17383881.5
1732321700,recommendations-food,27128763.5
1732321710,recommendations-food,17211591.0
1732321720,recommendations-food,51930668.5
1732321730,recommendations-food,14889693.0
1732321740,recommendations-food,12645769.5
1732321750,recommendations-food,16364285.0
1732321760,recommendations-food,23939705.0
1732321780,recommendations-food,19109038.0
1732321790,recommendations-food,5192508.0
1732321810,recommendations-food,12515981.5
1732321820,recommendations-food,20180228.5
1732321830,recommendations-food,17930460.5
1732321840,recommendations-food,6841283.5
1732321850,recommendations-food,7665381.0
1732321860,recommendations-food,19277762.5
1732321870,recommendations-food,15529508.0
1732321880,recommendations-food,6671442.5
1732321890,recommendations-food,10643292.5
1732321900,recommendations-food,12453424.5
1732321920,recommendations-food,12170817.5
1732321930,recommendations-food,12356513.0
1732321950,recommendations-food,13069667.0
1732321960,recommendations-food,9118894.5
1732321970,recommendations-food,18079234.5
1732321980,recommendations-food,8170184.0
1732321990,recommendations-food,22870477.5
1732322000,recommendations-food,8687895.0
1732322010,recommendations-food,7914314.0
1732322020,recommendations-food,10695002.5
1732322030,recommendations-food,8904684.0
1732322040,recommendations-food,22379951.0
1732322050,recommendations-food,24976565.5
1732322060,recommendations-food,5331220.5
1732322070,recommendations-food,6598977.5
1732322080,recommendations-food,11825803.5
1732322090,recommendations-food,8992244.0
1732322100,recommendations-food,11540737.5
1732322120,recommendations-food,12449111.0
1732322130,recommendations-food,30838811.0
1732322140,recommendations-food,25230560.5
1732322150,recommendations-food,38400828.5
1732322160,recommendations-food,16297510.0
1732322170,recommendations-food,24938031.5
1732322180,recommendations-food,32858844.0
1732322190,recommendations-food,18977987.5
1732322200,recommendations-food,11902453.5
1732322210,recommendations-food,11721299.0
1732322220,recommendations-food,19346275.5
1732322230,recommendations-food,15258915.5
1732322240,recommendations-food,29163146.5
1732322250,recommendations-food,4812040.5
1732322260,recommendations-food,21219419.5
1732322270,recommendations-food,6807205.5
1732322280,recommendations-food,9282304.0
1732322300,recommendations-food,27312824.5
1732322320,recommendations-food,10008211.0
1732322330,recommendations-food,9374468.5
1732322350,recommendations-food,12412739.0
1732322360,recommendations-food,7726046.0
1732322370,recommendations-food,33849046.5
1732322380,recommendations-food,13684930.0
1732322390,recommendations-food,12169139.0
1732322400,recommendations-food,7447601.0
1732322410,recommendations-food,10655022.5
1732322430,recommendations-food,8050057.5
1732322450,recommendations-food,3879606.0
