timestamp,service,value
1732321520,payments,6772310.0
1732321530,payments,4270138.0
1732321540,payments,4166315.0
1732321550,payments,5092131.0
1732321570,payments,15283826.5
1732321590,payments,17275632.0
1732321600,payments,22923345.5
1732321620,payments,5125069.5
1732321630,payments,12743055.5
1732321640,payments,13332297.0
1732321650,payments,15489912.5
1732321660,payments,19821297.5
1732321670,payments,23000838.0
1732321680,payments,16060351.5
1732321690,payments,12401313.0
1732321700,payments,23640418.0
1732321710,payments,9661320.0
1732321720,payments,8583168.0
1732321730,payments,10655045.0
1732321740,payments,29057894.0
1732321750,payments,5256254.0
1732321760,payments,15757758.0
1732321780,payments,20828663.0
1732321790,payments,24264541.0
1732321810,payments,22442333.5
1732321820,payments,10186664.0
1732321830,payments,11003396.0
1732321840,payments,12162046.0
1732321850,payments,4668812.0
1732321860,payments,24903134.5
1732321870,payments,52398455.0
1732321880,payments,6946785.5
1732321890,payments,16404027.5
1732321900,payments,20965464.0
1732321920,payments,5316442.0
1732321930,payments,12591402.0
1732321950,payments,26777724.5
1732321960,payments,14646044.0
1732321970,payments,14046600.5
1732321980,payments,7190510.0
1732321990,payments,9644770.5
1732322000,payments,7139314.5
1732322010,payments,12031980.5
1732322020,payments,20964818.0
1732322030,payments,21312389.5
1732322040,payments,17746622.0
1732322050,payments,19284182.5
1732322060,payments,10932324.5
1732322070,payments,13304319.0
1732322080,payments,11752068.0
1732322090,payments,6617198.0
1732322100,payments,13161027.0
1732322120,payments,50227294.5
1732322130,payments,11893985.0
1732322140,payments,23967172.5
1732322150,payments,52455528.5
1732322160,payments,22389304.0
1732322170,payments,6796534.0
1732322180,payments,21977671.5
1732322190,payments,20587371.5
1732322200,payments,28841283.5
1732322210,payments,6007142.0
1732322220,payments,18886778.5
1732322230,payments,20500399.5
1732322240,payments,16962822.5
1732322250,payments,8039885.0
1732322260,payments,26627602.0
1732322270,payments,21326101.0
1732322280,payments,16340720.5
1732322300,payments,17125685.0
1732322320,payments,13776918.5
1732322330,payments,17608205.5
1732322350,payments,17654328.0
1732322360,payments,9071602.5
1732322370,payments,22193895.5
1732322380,payments,7067344.0
1732322390,payments,14133940.5
1732322400,payments,13754124.0
1732322410,payments,41767503.5
1732322430,payments,3085688.0
1732322450,payments,3780741.5
