timestamp,service,value,metric_name
1732403140,orders,82695,net.connection.count.in_sum
1732403150,orders,85301,net.connection.count.in_sum
1732403160,orders,90628,net.connection.count.in_sum
1732403170,orders,87717,net.connection.count.in_sum
1732403180,orders,91418,net.connection.count.in_sum
1732403190,orders,97694,net.connection.count.in_sum
